workload,tree,operations,final_size,height,comparisons,node_visits,rotations,time_ms,valid,n,repeat
locality       ,AVL   ,1000,490,9,15041,8310,626,1.000,yes,500,5
locality       ,Splay ,1000,490,245,6553,3236,2095,0.000,yes,500,5
sorted         ,BST   ,1500,500,500,1249500,624750,0,6.000,yes,1000,1
sorted         ,AVL   ,1500,500,9,25652,13960,992,1.000,yes,1000,1
sorted         ,Splay ,1500,500,499,11719,6097,4099,0.000,yes,1000,1
random         ,BST   ,2000,370,18,32623,21710,0,0.000,yes,1000,1
random         ,AVL   ,2000,370,10,27831,18771,902,0.000,yes,1000,1
random         ,Splay ,2000,370,22,51102,28961,26334,1.000,yes,1000,1
locality       ,BST   ,2000,990,979,1985680,994141,0,9.000,yes,1000,1
locality       ,AVL   ,2000,990,10,33838,18243,1222,1.000,yes,1000,1
locality       ,Splay ,2000,990,493,12507,6106,3843,0.000,yes,1000,1
sorted         ,BST   ,1500,500,500,1249500,624750,0,7.000,yes,1000,2
sorted         ,AVL   ,1500,500,9,25652,13960,992,0.000,yes,1000,2
sorted         ,Splay ,1500,500,499,11719,6097,4099,0.000,yes,1000,2
random         ,BST   ,2000,370,18,32623,21710,0,1.000,yes,1000,2
random         ,AVL   ,2000,370,10,27831,18771,902,0.000,yes,1000,2
random         ,Splay ,2000,370,22,51102,28961,26334,1.000,yes,1000,2
locality       ,BST   ,2000,990,979,1985680,994141,0,10.000,yes,1000,2
locality       ,AVL   ,2000,990,10,33838,18243,1222,0.000,yes,1000,2
locality       ,Splay ,2000,990,493,12507,6106,3843,1.000,yes,1000,2
sorted         ,BST   ,1500,500,500,1249500,624750,0,6.000,yes,1000,3
sorted         ,AVL   ,1500,500,9,25652,13960,992,0.000,yes,1000,3
sorted         ,Splay ,1500,500,499,11719,6097,4099,1.000,yes,1000,3
random         ,BST   ,2000,370,18,32623,21710,0,0.000,yes,1000,3
random         ,AVL   ,2000,370,10,27831,18771,902,1.000,yes,1000,3
random         ,Splay ,2000,370,22,51102,28961,26334,0.000,yes,1000,3
locality       ,BST   ,2000,990,979,1985680,994141,0,9.000,yes,1000,3
locality       ,AVL   ,2000,990,10,33838,18243,1222,1.000,yes,1000,3
locality       ,Splay ,2000,990,493,12507,6106,3843,0.000,yes,1000,3
sorted         ,BST   ,1500,500,500,1249500,624750,0,6.000,yes,1000,4
sorted         ,AVL   ,1500,500,9,25652,13960,992,0.000,yes,1000,4
sorted         ,Splay ,1500,500,499,11719,6097,4099,0.000,yes,1000,4
random         ,BST   ,2000,370,18,32623,21710,0,0.000,yes,1000,4
random         ,AVL   ,2000,370,10,27831,18771,902,1.000,yes,1000,4
random         ,Splay ,2000,370,22,51102,28961,26334,0.000,yes,1000,4
locality       ,BST   ,2000,990,979,1985680,994141,0,9.000,yes,1000,4
locality       ,AVL   ,2000,990,10,33838,18243,1222,1.000,yes,1000,4
locality       ,Splay ,2000,990,493,12507,6106,3843,1.000,yes,1000,4
sorted         ,BST   ,1500,500,500,1249500,624750,0,5.000,yes,1000,5
sorted         ,AVL   ,1500,500,9,25652,13960,992,0.000,yes,1000,5
sorted         ,Splay ,1500,500,499,11719,6097,4099,0.000,yes,1000,5
random         ,BST   ,2000,370,18,32623,21710,0,0.000,yes,1000,5
random         ,AVL   ,2000,370,10,27831,18771,902,1.000,yes,1000,5
random         ,Splay ,2000,370,22,51102,28961,26334,1.000,yes,1000,5
locality       ,BST   ,2000,990,979,1985680,994141,0,9.000,yes,1000,5
locality       ,AVL   ,2000,990,10,33838,18243,1222,0.000,yes,1000,5
locality       ,Splay ,2000,990,493,12507,6106,3843,1.000,yes,1000,5
sorted         ,BST   ,3000,1000,1000,4999000,2499500,0,23.000,yes,2000,1
sorted         ,AVL   ,3000,1000,10,56802,30920,1992,1.000,yes,2000,1
sorted         ,Splay ,3000,1000,999,23509,12250,8252,1.000,yes,2000,1
random         ,BST   ,4000,724,24,81541,54807,0,1.000,yes,2000,1
random         ,AVL   ,4000,724,11,61330,41348,1845,1.000,yes,2000,1
random         ,Splay ,4000,724,22,115646,65832,60559,2.000,yes,2000,1
locality       ,BST   ,4000,1990,1979,7971541,3988490,0,38.000,yes,2000,1
locality       ,AVL   ,4000,1990,12,77083,42188,2410,1.000,yes,2000,1
locality       ,Splay ,4000,1990,992,25726,12697,8181,0.000,yes,2000,1
sorted         ,BST   ,3000,1000,1000,4999000,2499500,0,24.000,yes,2000,2
sorted         ,AVL   ,3000,1000,10,56802,30920,1992,1.000,yes,2000,2
sorted         ,Splay ,3000,1000,999,23509,12250,8252,1.000,yes,2000,2
random         ,BST   ,4000,724,24,81541,54807,0,1.000,yes,2000,2
random         ,AVL   ,4000,724,11,61330,41348,1845,1.000,yes,2000,2
random         ,Splay ,4000,724,22,115646,65832,60559,2.000,yes,2000,2
locality       ,BST   ,4000,1990,1979,7971541,3988490,0,36.000,yes,2000,2
locality       ,AVL   ,4000,1990,12,77083,42188,2410,2.000,yes,2000,2
locality       ,Splay ,4000,1990,992,25726,12697,8181,0.000,yes,2000,2
sorted         ,BST   ,3000,1000,1000,4999000,2499500,0,22.000,yes,2000,3
sorted         ,AVL   ,3000,1000,10,56802,30920,1992,1.000,yes,2000,3
sorted         ,Splay ,3000,1000,999,23509,12250,8252,0.000,yes,2000,3
random         ,BST   ,4000,724,24,81541,54807,0,1.000,yes,2000,3
random         ,AVL   ,4000,724,11,61330,41348,1845,2.000,yes,2000,3
random         ,Splay ,4000,724,22,115646,65832,60559,1.000,yes,2000,3
locality       ,BST   ,4000,1990,1979,7971541,3988490,0,35.000,yes,2000,3
locality       ,AVL   ,4000,1990,12,77083,42188,2410,2.000,yes,2000,3
locality       ,Splay ,4000,1990,992,25726,12697,8181,1.000,yes,2000,3
sorted         ,BST   ,3000,1000,1000,4999000,2499500,0,24.000,yes,2000,4
sorted         ,AVL   ,3000,1000,10,56802,30920,1992,1.000,yes,2000,4
sorted         ,Splay ,3000,1000,999,23509,12250,8252,0.000,yes,2000,4
random         ,BST   ,4000,724,24,81541,54807,0,1.000,yes,2000,4
random         ,AVL   ,4000,724,11,61330,41348,1845,2.000,yes,2000,4
random         ,Splay ,4000,724,22,115646,65832,60559,2.000,yes,2000,4
locality       ,BST   ,4000,1990,1979,7971541,3988490,0,36.000,yes,2000,4
locality       ,AVL   ,4000,1990,12,77083,42188,2410,1.000,yes,2000,4
locality       ,Splay ,4000,1990,992,25726,12697,8181,0.000,yes,2000,4
sorted         ,BST   ,3000,1000,1000,4999000,2499500,0,23.000,yes,2000,5
sorted         ,AVL   ,3000,1000,10,56802,30920,1992,2.000,yes,2000,5
sorted         ,Splay ,3000,1000,999,23509,12250,8252,0.000,yes,2000,5
random         ,BST   ,4000,724,24,81541,54807,0,1.000,yes,2000,5
random         ,AVL   ,4000,724,11,61330,41348,1845,2.000,yes,2000,5
random         ,Splay ,4000,724,22,115646,65832,60559,2.000,yes,2000,5
locality       ,BST   ,4000,1990,1979,7971541,3988490,0,36.000,yes,2000,5
locality       ,AVL   ,4000,1990,12,77083,42188,2410,2.000,yes,2000,5
locality       ,Splay ,4000,1990,992,25726,12697,8181,0.000,yes,2000,5
